ParameterName, q0_min, q0_max, q3_min, q3_max
q0q3_54, .10000000000000000000, .20000000000000000000, .40000000000000000000, .50000000000000000000
q0q3_55, .10000000000000000000, .20000000000000000000, .50000000000000000000, .60000000000000000000
q0q3_56, .10000000000000000000, .20000000000000000000, .60000000000000000000, .70000000000000000000
q0q3_57, .10000000000000000000, .20000000000000000000, .70000000000000000000, .80000000000000000000
q0q3_58, .10000000000000000000, .20000000000000000000, .80000000000000000000, .90000000000000000000
q0q3_59, .10000000000000000000, .20000000000000000000, .90000000000000000000, 1.00000000000000000000
q0q3_60, .10000000000000000000, .20000000000000000000, 1.00000000000000000000, 1.10000000000000000000
q0q3_61, .10000000000000000000, .20000000000000000000, 1.10000000000000000000, 1.20000000000000000000
q0q3_62, .10000000000000000000, .20000000000000000000, 1.20000000000000000000, 1.30000000000000000000
q0q3_63, .10000000000000000000, .20000000000000000000, 1.30000000000000000000, 1.40000000000000000000
q0q3_64, .10000000000000000000, .20000000000000000000, 1.40000000000000000000, 1.50000000000000000000
q0q3_65, .10000000000000000000, .20000000000000000000, 1.50000000000000000000, 1.60000000000000000000
q0q3_66, .10000000000000000000, .20000000000000000000, 1.60000000000000000000, 1.70000000000000000000
q0q3_67, .10000000000000000000, .20000000000000000000, 1.70000000000000000000, 1.80000000000000000000
q0q3_68, .10000000000000000000, .20000000000000000000, 1.80000000000000000000, 1.90000000000000000000
q0q3_69, .10000000000000000000, .20000000000000000000, 1.90000000000000000000, 2.00000000000000000000
q0q3_70, .10000000000000000000, .20000000000000000000, 2.00000000000000000000, 2.10000000000000000000
q0q3_71, .10000000000000000000, .20000000000000000000, 2.10000000000000000000, 2.20000000000000000000
q0q3_72, .10000000000000000000, .20000000000000000000, 2.20000000000000000000, 2.30000000000000000000
q0q3_73, .10000000000000000000, .20000000000000000000, 2.30000000000000000000, 2.40000000000000000000
q0q3_74, .10000000000000000000, .20000000000000000000, 2.40000000000000000000, 2.50000000000000000000
q0q3_75, .10000000000000000000, .20000000000000000000, 2.50000000000000000000, 2.60000000000000000000
q0q3_76, .10000000000000000000, .20000000000000000000, 2.60000000000000000000, 2.70000000000000000000
q0q3_77, .10000000000000000000, .20000000000000000000, 2.70000000000000000000, 2.80000000000000000000
q0q3_78, .10000000000000000000, .20000000000000000000, 2.80000000000000000000, 2.90000000000000000000
q0q3_79, .10000000000000000000, .20000000000000000000, 2.90000000000000000000, 3.00000000000000000000
q0q3_80, .10000000000000000000, .20000000000000000000, 3.00000000000000000000, 3.10000000000000000000
q0q3_81, .10000000000000000000, .20000000000000000000, 3.10000000000000000000, 3.20000000000000000000
q0q3_82, .10000000000000000000, .20000000000000000000, 3.20000000000000000000, 3.30000000000000000000
q0q3_83, .10000000000000000000, .20000000000000000000, 3.30000000000000000000, 3.40000000000000000000
q0q3_84, .10000000000000000000, .20000000000000000000, 3.40000000000000000000, 3.50000000000000000000
q0q3_85, .10000000000000000000, .20000000000000000000, 3.50000000000000000000, 3.60000000000000000000
q0q3_86, .10000000000000000000, .20000000000000000000, 3.60000000000000000000, 3.70000000000000000000
q0q3_87, .10000000000000000000, .20000000000000000000, 3.70000000000000000000, 3.80000000000000000000
q0q3_88, .10000000000000000000, .20000000000000000000, 3.80000000000000000000, 3.90000000000000000000
q0q3_89, .10000000000000000000, .20000000000000000000, 3.90000000000000000000, 4.00000000000000000000
q0q3_90, .10000000000000000000, .20000000000000000000, 4.00000000000000000000, 4.10000000000000000000
q0q3_91, .10000000000000000000, .20000000000000000000, 4.10000000000000000000, 4.20000000000000000000
q0q3_92, .10000000000000000000, .20000000000000000000, 4.20000000000000000000, 4.30000000000000000000
q0q3_93, .10000000000000000000, .20000000000000000000, 4.30000000000000000000, 4.40000000000000000000
q0q3_94, .10000000000000000000, .20000000000000000000, 4.40000000000000000000, 4.50000000000000000000
q0q3_95, .10000000000000000000, .20000000000000000000, 4.50000000000000000000, 4.60000000000000000000
q0q3_96, .10000000000000000000, .20000000000000000000, 4.60000000000000000000, 4.70000000000000000000
q0q3_97, .10000000000000000000, .20000000000000000000, 4.70000000000000000000, 4.80000000000000000000
q0q3_98, .10000000000000000000, .20000000000000000000, 4.80000000000000000000, 4.90000000000000000000
q0q3_99, .10000000000000000000, .20000000000000000000, 4.90000000000000000000, 5.00000000000000000000
q0q3_100, .20000000000000000000, .30000000000000000000, .20000000000000000000, .30000000000000000000
